company,letter_count,total_word_count,Strategic Leadership_count,Horizon Scanning / Sense-making_count,"Purpose, Vision, and Governance_count","Strategic Options, Experimentation, and Choices_count",Agile Execution and Organization_count,Strategic Leadership_per_1000,Horizon Scanning / Sense-making_per_1000,"Purpose, Vision, and Governance_per_1000","Strategic Options, Experimentation, and Choices_per_1000",Agile Execution and Organization_per_1000,explore_count,exploit_count,customer_count,shareholder_count,long_term_count,short_term_count,entrepreneurial_count,managerial_count,internal_innovation_count,external_innovation_count,risk_challenge_count,success_performance_count,explore_share_of_explore_exploit,customer_share_of_customer_shareholder,long_term_share_of_long_short,entrepreneurial_share_of_entrepreneurial_managerial,internal_share_of_internal_external,risk_share_of_risk_performance,dominant_ipm_theme_per_1000
Amazon,7,27870,46,373,367,231,148,1.651,13.384,13.168,8.288,5.310,248,113,334,23,105,20,133,98,178,18,57,141,0.687,0.936,0.840,0.576,0.908,0.288,Horizon Scanning / Sense-making
Nvidia,7,16443,11,812,57,132,158,0.669,49.383,3.467,8.028,9.609,169,95,25,11,57,11,35,51,201,47,31,88,0.640,0.694,0.838,0.407,0.810,0.261,Horizon Scanning / Sense-making
Shell,7,8456,22,104,72,62,28,2.602,12.299,8.515,7.332,3.311,9,91,20,42,43,5,2,65,22,26,18,104,0.090,0.323,0.896,0.030,0.458,0.148,Horizon Scanning / Sense-making
Chevron,7,8549,14,137,120,76,55,1.638,16.025,14.037,8.890,6.434,38,112,19,52,49,6,3,62,35,45,38,141,0.253,0.268,0.891,0.046,0.438,0.212,Horizon Scanning / Sense-making
